title,movie_id,cast,crew
Casino,524,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci']",['Martin Scorsese']
From Paris with Love,26389,"['John Travolta', 'Jonathan Rhys Meyers', 'Kasia Smutniak']",['Pierre Morel']
Bulletproof Monk,11817,"['Seann William Scott', 'Jaime King', 'Karel Roden']",['Paul Hunter']
"Me, Myself & Irene",2123,"['Jim Carrey', 'Renée Zellweger', 'Anthony Anderson']",['Bobby Farrelly']
Barnyard,9907,"['Courteney Cox', 'Kevin James', 'Sam Elliott']",['Steve Oedekerk']
Deck the Halls,9969,"['Danny DeVito', 'Matthew Broderick', 'Kristin Davis']",['John Whitesell']
The Twilight Saga: New Moon,18239,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner']",['Chris Weitz']
Shrek,808,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",['Andrew Adamson']
The Adjustment Bureau,38050,"['Matt Damon', 'Emily Blunt', 'John Slattery']",['George Nolfi']
Robin Hood: Prince of Thieves,8367,"['Kevin Costner', 'Morgan Freeman', 'Christian Slater']",['Kevin Reynolds']
Jerry Maguire,9390,"['Tom Cruise', 'Cuba Gooding Jr.', 'Renée Zellweger']",['Cameron Crowe']
Ted,72105,"['Mark Wahlberg', 'Mila Kunis', 'Seth MacFarlane']",['Seth MacFarlane']
As Good as It Gets,2898,"['Jack Nicholson', 'Helen Hunt', 'Greg Kinnear']",['James L. Brooks']
Patch Adams,10312,"['Robin Williams', 'Philip Seymour Hoffman', 'Bob Gunton']",['Tom Shadyac']
Anchorman 2: The Legend Continues,109443,"['Will Ferrell', 'Steve Carell', 'Paul Rudd']",['Adam McKay']
Mr. Deeds,2022,"['Adam Sandler', 'Winona Ryder', 'John Turturro']",['Steven Brill']
Super 8,37686,"['Joel Courtney', 'Elle Fanning', 'Riley Griffiths']",['J.J. Abrams']
Erin Brockovich,462,"['Julia Roberts', 'Albert Finney', 'Aaron Eckhart']",['Steven Soderbergh']
How to Lose a Guy in 10 Days,9919,"['Kate Hudson', 'Matthew McConaughey', 'Kathryn Hahn']",['Donald Petrie']
22 Jump Street,187017,"['Jonah Hill', 'Channing Tatum', 'Dave Franco']",['Phil Lord']
Interview with the Vampire,628,"['Brad Pitt', 'Tom Cruise', 'Kirsten Dunst']",['Neil Jordan']
Yes Man,10201,"['Jim Carrey', 'Zooey Deschanel', 'Rhys Darby']",['Peyton Reed']
Central Intelligence,302699,"['Dwayne Johnson', 'Kevin Hart', 'Amy Ryan']",['Rawson Marshall Thurber']
Stepmom,9441,"['Julia Roberts', 'Susan Sarandon', 'Ed Harris']",['Chris Columbus']
Daddy's Home,274167,"['Will Ferrell', 'Mark Wahlberg', 'Linda Cardellini']",['Sean Anders']
Into the Woods,224141,"['Meryl Streep', 'Emily Blunt', 'James Corden']",['Rob Marshall']
Inside Man,388,"['Denzel Washington', 'Clive Owen', 'Jodie Foster']",['Spike Lee']
Payback,2112,"['Mel Gibson', 'Kris Kristofferson', 'Gregg Henry']",['Brian Helgeland']
Congo,10329,"['Laura Linney', 'Dylan Walsh', 'Ernie Hudson']",['Frank Marshall']
We Bought a Zoo,74465,"['Matt Damon', 'Scarlett Johansson', 'Thomas Haden Church']",['Cameron Crowe']
Knowing,13811,"['Nicolas Cage', 'Rose Byrne', 'Chandler Canterbury']",['Alex Proyas']
Failure to Launch,6877,"['Matthew McConaughey', 'Sarah Jessica Parker', 'Zooey Deschanel']",['Tom Dey']
The Ring Two,10320,"['Naomi Watts', 'Simon Baker', 'Elizabeth Perkins']",['Hideo Nakata']
"Crazy, Stupid, Love.",50646,"['Steve Carell', 'Julianne Moore', 'Ryan Gosling']",['Glenn Ficarra']
Garfield,8920,"['Bill Murray', 'Breckin Meyer', 'Jennifer Love Hewitt']",['Peter Hewitt']
Christmas with the Kranks,13673,"['Tim Allen', 'Jamie Lee Curtis', 'Dan Aykroyd']",['Joe Roth']
Moneyball,60308,"['Brad Pitt', 'Jonah Hill', 'Philip Seymour Hoffman']",['Bennett Miller']
Outbreak,6950,"['Dustin Hoffman', 'Rene Russo', 'Morgan Freeman']",['Wolfgang Petersen']
Non-Stop,225574,"['Liam Neeson', 'Julianne Moore', 'Scoot McNairy']",['Jaume Collet-Serra']
Race to Witch Mountain,13836,"['Dwayne Johnson', 'AnnaSophia Robb', 'Alexander Ludwig']",['Andy Fickman']
V for Vendetta,752,"['Natalie Portman', 'Hugo Weaving', 'Stephen Rea']",['James McTeigue']
Shanghai Knights,6038,"['Jackie Chan', 'Owen Wilson', 'Fann Wong']",['David Dobkin']
Curious George,9975,"['Will Ferrell', 'Drew Barrymore', 'David Cross']","[""Matthew O'Callaghan""]"
Herbie Fully Loaded,11451,"['Lindsay Lohan', 'Michael Keaton', 'Matt Dillon']",['Angela Robinson']
Don't Say a Word,12103,"['Michael Douglas', 'Sean Bean', 'Brittany Murphy']",['Gary Fleder']
Hansel & Gretel: Witch Hunters,60304,"['Jeremy Renner', 'Gemma Arterton', 'Famke Janssen']",['Tommy Wirkola']
Unfaithful,2251,"['Richard Gere', 'Diane Lane', 'Olivier Martinez']",['Adrian Lyne']
I Am Number Four,46529,"['Alex Pettyfer', 'Timothy Olyphant', 'Teresa Palmer']",['D.J. Caruso']
Syriana,231,"['George Clooney', 'Matt Damon', 'Jeffrey Wright']",['Stephen Gaghan']
13 Hours: The Secret Soldiers of Benghazi,300671,"['James Badge Dale', 'John Krasinski', 'Max Martini']",['Michael Bay']
The Book of Life,228326,"['Diego Luna', 'Channing Tatum', 'Zoe Saldana']",['Jorge R. Gutierrez']
Firewall,9754,"['Harrison Ford', 'Paul Bettany', 'Virginia Madsen']",['Richard Loncraine']
Absolute Power,66,"['Clint Eastwood', 'Gene Hackman', 'Ed Harris']",['Clint Eastwood']
G.I. Jane,4421,"['Demi Moore', 'Viggo Mortensen', 'Anne Bancroft']",['Ridley Scott']
The Game,2649,"['Michael Douglas', 'Sean Penn', 'Deborah Kara Unger']",['David Fincher']
Silent Hill,588,"['Radha Mitchell', 'Sean Bean', 'Laurie Holden']",['Christophe Gans']
The Replacements,10393,"['Keanu Reeves', 'Gene Hackman', 'Brooke Langton']",['Howard Deutch']
American Reunion,71552,"['Jason Biggs', 'Alyson Hannigan', 'Seann William Scott']",['Jon Hurwitz']
The Negotiator,9631,"['Samuel L. Jackson', 'Kevin Spacey', 'David Morse']",['F. Gary Gray']
Into the Storm,216282,"['Richard Armitage', 'Sarah Wayne Callies', 'Matt Walsh']",['Steven Quale']
Beverly Hills Cop III,306,"['Eddie Murphy', 'Judge Reinhold', 'Héctor Elizondo']",['John Landis']
Gremlins 2: The New Batch,928,"['Zach Galligan', 'Phoebe Cates', 'John Glover']",['Joe Dante']
The Judge,205587,"['Robert Duvall', 'Robert Downey Jr.', 'Vera Farmiga']",['David Dobkin']
The Peacemaker,6623,"['George Clooney', 'Nicole Kidman', 'Marcel Iureș']",['Mimi Leder']
Resident Evil: Apocalypse,1577,"['Milla Jovovich', 'Sienna Guillory', 'Oded Fehr']",['Alexander Witt']
Bridget Jones: The Edge of Reason,9801,"['Renée Zellweger', 'Hugh Grant', 'Colin Firth']",['Beeban Kidron']
Out of Time,2116,"['Denzel Washington', 'Eva Mendes', 'Sanaa Lathan']",['Carl Franklin']
On Deadly Ground,9624,"['Steven Seagal', 'Michael Caine', 'Joan Chen']",['Steven Seagal']
The Adventures of Sharkboy and Lavagirl,14199,"['Taylor Lautner', 'Taylor Dooley', 'Cayden Boyd']",['Robert Rodriguez']
The Beach,1907,"['Leonardo DiCaprio', 'Guillaume Canet', 'Tilda Swinton']",['Danny Boyle']
Raising Helen,4599,"['Kate Hudson', 'John Corbett', 'Joan Cusack']",['Garry Marshall']
Ninja Assassin,22832,"['Rain', 'Naomie Harris', 'Sung Kang']",['James McTeigue']
For Love of the Game,10390,"['Kevin Costner', 'Kelly Preston', 'John C. Reilly']",['Sam Raimi']
Striptease,9879,"['Demi Moore', 'Burt Reynolds', 'Armand Assante']",['Andrew Bergman']
Marmaduke,38579,"['Owen Wilson', 'Emma Stone', 'George Lopez']",['Tom Dey']
Hereafter,44603,"['Matt Damon', 'Bryce Dallas Howard', 'George McLaren']",['Clint Eastwood']
Murder by Numbers,11892,"['Sandra Bullock', 'Ben Chaplin', 'Ryan Gosling']",['Barbet Schroeder']
Assassins,9691,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore']",['Richard Donner']
Hannibal Rising,1248,"['Gaspard Ulliel', 'Aaran Thomas', 'Gong Li']",['Peter Webber']
The Story of Us,12220,"['Bruce Willis', 'Michelle Pfeiffer', 'Rob Reiner']",['Rob Reiner']
The Host,72710,"['Saoirse Ronan', 'Diane Kruger', 'Jake Abel']",['Andrew Niccol']
The Host,1255,"['Song Kang-ho', 'Park Hae-il', 'Bae Doona']",['Bong Joon-ho']
Basic,10782,"['John Travolta', 'Connie Nielsen', 'Samuel L. Jackson']",['John McTiernan']
Blood Work,9573,"['Clint Eastwood', 'Jeff Daniels', 'Anjelica Huston']",['Clint Eastwood']
The International,4959,"['Clive Owen', 'Naomi Watts', 'Armin Mueller-Stahl']",['Tom Tykwer']
Escape from L.A.,10061,"['Kurt Russell', 'Stacy Keach', 'Steve Buscemi']",['John Carpenter']
The Iron Giant,10386,"['Eli Marienthal', 'Jennifer Aniston', 'Vin Diesel']",['Brad Bird']
The Life Aquatic with Steve Zissou,421,"['Bill Murray', 'Anjelica Huston', 'Cate Blanchett']",['Wes Anderson']
Free State of Jones,316152,"['Matthew McConaughey', 'Gugu Mbatha-Raw', 'Mahershala Ali']",['Gary Ross']
The Life of David Gale,11615,"['Kevin Spacey', 'Kate Winslet', 'Laura Linney']",['Alan Parker']
Man of the House,13498,"['Tommy Lee Jones', 'Cedric the Entertainer', 'Christina Milian']",['Stephen Herek']
Run All Night,241554,"['Liam Neeson', 'Ed Harris', 'Joel Kinnaman']",['Jaume Collet-Serra']
Eastern Promises,2252,"['Naomi Watts', 'Viggo Mortensen', 'Vincent Cassel']",['David Cronenberg']
Into the Blue,11968,"['Paul Walker', 'Jessica Alba', 'Scott Caan']",['John Stockwell']
The Messenger: The Story of Joan of Arc,10047,"['Milla Jovovich', 'Dustin Hoffman', 'Faye Dunaway']",['Luc Besson']
Your Highness,38319,"['Danny McBride', 'James Franco', 'Natalie Portman']",['David Gordon Green']
Dream House,69668,"['Daniel Craig', 'Naomi Watts', 'Rachel Weisz']",['Jim Sheridan']
Mad City,9770,"['John Travolta', 'Dustin Hoffman', 'Mia Kirshner']",['Costa-Gavras']
Baby's Day Out,11212,"['Joe Mantegna', 'Lara Flynn Boyle', 'Joe Pantoliano']",['Patrick Read Johnson']
The Scarlet Letter,10533,"['Demi Moore', 'Gary Oldman', 'Robert Duvall']",['Roland Joffé']
Fair Game,38363,"['Naomi Watts', 'Sean Penn', 'Ty Burrell']",['Doug Liman']
Domino,9923,"['Keira Knightley', 'Mickey Rourke', 'Edgar Ramírez']",['Tony Scott']
Jade,11863,"['David Caruso', 'Linda Fiorentino', 'Chazz Palminteri']",['William Friedkin']
Gamer,18501,"['Gerard Butler', 'Michael C. Hall', 'Logan Lerman']",['Brian Taylor']
Beautiful Creatures,109491,"['Alden Ehrenreich', 'Alice Englert', 'Jeremy Irons']",['Richard LaGravenese']
Death to Smoochy,9275,"['Robin Williams', 'Catherine Keener', 'Edward Norton']",['Danny DeVito']
Zoolander 2,329833,"['Ben Stiller', 'Owen Wilson', 'Will Ferrell']",['Ben Stiller']
The Big Bounce,12634,"['Owen Wilson', 'Morgan Freeman', 'Gary Sinise']",['George Armitage']
What Planet Are You From?,10416,"['Garry Shandling', 'Annette Bening', 'John Goodman']",['Mike Nichols']
Drive Angry,47327,"['Nicolas Cage', 'Amber Heard', 'William Fichtner']",['Patrick Lussier']
Street Fighter: The Legend of Chun-Li,15268,"['Kristin Kreuk', 'Chris Klein', 'Neal McDonough']",['Andrzej Bartkowiak']
The One,10796,"['Jet Li', 'Jason Statham', 'Carla Gugino']",['James Wong']
The Adventures of Ford Fairlane,9548,"['Andrew Dice Clay', 'Wayne Newton', 'Priscilla Presley']",['Renny Harlin']
The Boat That Rocked,18947,"['Tom Sturridge', 'Philip Seymour Hoffman', 'Rhys Ifans']",['Richard Curtis']
Traffic,1900,"['Michael Douglas', 'Benicio del Toro', 'Jacob Vargas']",['Steven Soderbergh']
Indiana Jones and the Last Crusade,89,"['Harrison Ford', 'Sean Connery', 'Denholm Elliott']",['Steven Spielberg']
Anna Karenina,96724,"['Keira Knightley', 'Jude Law', 'Aaron Taylor-Johnson']",['Joe Wright']
Chappie,198184,"['Sharlto Copley', 'Dev Patel', 'Ninja']",['Neill Blomkamp']
The Bone Collector,9481,"['Denzel Washington', 'Angelina Jolie', 'Queen Latifah']",['Phillip Noyce']
Panic Room,4547,"['Jodie Foster', 'Kristen Stewart', 'Forest Whitaker']",['David Fincher']
The Tooth Fairy,53953,"['Lochlyn Munro', 'Chandra West', 'Steve Bacic']",['Chuck Bowman']
Three Kings,6415,"['George Clooney', 'Mark Wahlberg', 'Ice Cube']",['David O. Russell']
Child 44,181283,"['Tom Hardy', 'Gary Oldman', 'Noomi Rapace']",['Daniel Espinosa']
Rat Race,9896,"['Cuba Gooding Jr.', 'Seth Green', 'Whoopi Goldberg']",['Jerry Zucker']
K-PAX,167,"['Jeff Bridges', 'Kevin Spacey', 'Mary McCormack']",['Iain Softley']
Kate & Leopold,11232,"['Meg Ryan', 'Hugh Jackman', 'Liev Schreiber']",['James Mangold']
Bedazzled,1636,"['Elizabeth Hurley', 'Brendan Fraser', ""Frances O'Connor""]",['Harold Ramis']
The Cotton Club,2148,"['Richard Gere', 'Gregory Hines', 'Diane Lane']",['Francis Ford Coppola']
3:10 to Yuma,5176,"['Russell Crowe', 'Christian Bale', 'Logan Lerman']",['James Mangold']
Taken 3,260346,"['Liam Neeson', 'Forest Whitaker', 'Maggie Grace']",['Olivier Megaton']
Out of Sight,1389,"['George Clooney', 'Jennifer Lopez', 'Ving Rhames']",['Steven Soderbergh']
The Cable Guy,9894,"['Jim Carrey', 'Matthew Broderick', 'Leslie Mann']",['Ben Stiller']
Earth,7504,"['Aamir Khan', 'Nandita Das', 'Maia Sethna']",['Deepa Mehta']
Dick Tracy,8592,"['Warren Beatty', 'Al Pacino', 'Madonna']",['Warren Beatty']
The Thomas Crown Affair,913,"['Pierce Brosnan', 'Rene Russo', 'Denis Leary']",['John McTiernan']
Riding in Cars with Boys,11091,"['Drew Barrymore', 'Steve Zahn', 'Adam Garcia']",['Penny Marshall']
First Blood,1368,"['Sylvester Stallone', 'Richard Crenna', 'Brian Dennehy']",['Ted Kotcheff']
Solaris,593,"['Donatas Banionis', 'Natalya Bondarchuk', 'Jüri Järvet']",['Andrei Tarkovsky']
Happily N'Ever After,5393,"['George Carlin', 'Andy Dick', 'Sarah Michelle Gellar']",['Yvette Kaplan']
Mary Reilly,9095,"['Julia Roberts', 'John Malkovich', 'George Cole']",['Stephen Frears']
My Best Friend's Wedding,8874,"['Julia Roberts', 'Dermot Mulroney', 'Cameron Diaz']",['P.J. Hogan']
America's Sweethearts,11467,"['Julia Roberts', 'Billy Crystal', 'Catherine Zeta-Jones']",['Joe Roth']
Insomnia,320,"['Al Pacino', 'Robin Williams', 'Hilary Swank']",['Christopher Nolan']
Star Trek: First Contact,199,"['Patrick Stewart', 'Jonathan Frakes', 'Brent Spiner']",['Jonathan Frakes']
Jonah Hex,20533,"['Josh Brolin', 'John Malkovich', 'Megan Fox']",['Jimmy Hayward']
Courage Under Fire,10684,"['Denzel Washington', 'Meg Ryan', 'Lou Diamond Phillips']",['Edward Zwick']
Liar Liar,1624,"['Jim Carrey', 'Maura Tierney', 'Cary Elwes']",['Tom Shadyac']
The Infiltrator,325789,"['Bryan Cranston', 'Diane Kruger', 'John Leguizamo']",['Brad Furman']
Inchon,113464,"['Laurence Olivier', 'Jacqueline Bisset', 'Ben Gazzara']",['Terence Young']
The Flintstones,888,"['John Goodman', 'Elizabeth Perkins', 'Rick Moranis']",['Brian Levant']
Taken 2,82675,"['Liam Neeson', 'Maggie Grace', 'Famke Janssen']",['Olivier Megaton']
Scary Movie 3,4256,"['Pamela Anderson', 'Jenny McCarthy', 'Marny Eng']",['David Zucker']
Miss Congeniality,1493,"['Sandra Bullock', 'Benjamin Bratt', 'Michael Caine']",['Donald Petrie']
Journey to the Center of the Earth,88751,"['Brendan Fraser', 'Josh Hutcherson', 'Anita Briem']",['Eric Brevig']
The Princess Diaries 2: Royal Engagement,11130,"['Anne Hathaway', 'Julie Andrews', 'Héctor Elizondo']",['Garry Marshall']
The Pelican Brief,9944,"['Julia Roberts', 'Denzel Washington', 'Sam Shepard']",['Alan J. Pakula']
The Client,10731,"['Susan Sarandon', 'Tommy Lee Jones', 'Mary-Louise Parker']",['Joel Schumacher']
The Bucket List,7350,"['Jack Nicholson', 'Morgan Freeman', 'Sean Hayes']",['Rob Reiner']
Patriot Games,9869,"['Harrison Ford', 'Anne Archer', 'Patrick Bergin']",['Phillip Noyce']
Monster-in-Law,4379,"['Jennifer Lopez', 'Jane Fonda', 'Michael Vartan']",['Robert Luketic']
Prisoners,146233,"['Hugh Jackman', 'Jake Gyllenhaal', 'Paul Dano']",['Denis Villeneuve']
Training Day,2034,"['Denzel Washington', 'Ethan Hawke', 'Scott Glenn']",['Antoine Fuqua']
Galaxy Quest,926,"['Tim Allen', 'Sigourney Weaver', 'Alan Rickman']",['Dean Parisot']
Scary Movie 2,4248,"['Anna Faris', 'Marlon Wayans', 'James DeBello']",['Keenen Ivory Wayans']
The Muppets,64328,"['Amy Adams', 'Jason Segel', 'Emily Blunt']",['James Bobin']
Blade,36647,"['Wesley Snipes', 'Stephen Dorff', 'Kris Kristofferson']",['Stephen Norrington']
Coach Carter,7214,"['Samuel L. Jackson', 'Rob Brown', ""Robert Ri'chard""]",['Thomas Carter']
Changing Lanes,1537,"['Ben Affleck', 'Samuel L. Jackson', 'Kim Staunton']",['Roger Michell']
Anaconda,9360,"['Jennifer Lopez', 'Ice Cube', 'Jon Voight']",['Luis Llosa']
Coyote Ugly,6282,"['Piper Perabo', 'Adam Garcia', 'John Goodman']",['David McNally']
Love Actually,508,"['Keira Knightley', 'Heike Makatsch', 'Emma Thompson']",['Richard Curtis']
A Bug's Life,9487,"['Kevin Spacey', 'Julia Louis-Dreyfus', 'Hayden Panettiere']",['Andrew Stanton']
From Hell,768,"['Johnny Depp', 'Heather Graham', 'Ian Holm']",['Albert Hughes']
The Specialist,2636,"['Sylvester Stallone', 'Sharon Stone', 'James Woods']",['Luis Llosa']
Tin Cup,10478,"['Kevin Costner', 'Don Johnson', 'Cheech Marin']",['Ron Shelton']
"Yours, Mine and Ours",27983,"['Lucille Ball', 'Henry Fonda', 'Van Johnson']",['Melville Shavelson']
Kicking & Screaming,9981,"['Will Ferrell', 'Robert Duvall', 'Kate Walsh']",['Jesse Dylan']
The Hitchhiker's Guide to the Galaxy,7453,"['Martin Freeman', 'Zooey Deschanel', 'Sam Rockwell']",['Garth Jennings']
Fat Albert,15045,"['Kenan Thompson', 'Shedrack Anderson III', 'Jermaine Williams']",['Joel Zwick']
Resident Evil: Extinction,7737,"['Milla Jovovich', 'Oded Fehr', 'Ali Larter']",['Russell Mulcahy']
Blended,232672,"['Drew Barrymore', 'Adam Sandler', 'Wendi McLendon-Covey']",['Frank Coraci']
Last Holiday,17379,"['Queen Latifah', 'LL Cool J', 'Timothy Hutton']",['Wayne Wang']
The River Wild,8987,"['Meryl Streep', 'David Strathairn', 'Kevin Bacon']",['Curtis Hanson']
The Indian in the Cupboard,11359,"['Hal Scardino', 'Litefoot', 'Lindsay Crouse']",['Frank Oz']
Savages,82525,"['Blake Lively', 'Taylor Kitsch', 'Aaron Taylor-Johnson']",['Oliver Stone']
Cellular,9759,"['Chris Evans', 'Kim Basinger', 'Jason Statham']",['David R. Ellis']
Johnny English,9486,"['Rowan Atkinson', 'John Malkovich', 'Natalie Imbruglia']",['Peter Howitt']
The Ant Bully,9906,"['Julia Roberts', 'Meryl Streep', 'Nicolas Cage']",['John A. Davis']
Dune,841,"['Kyle MacLachlan', 'Francesca Annis', 'Leonardo Cimino']",['David Lynch']
Across the Universe,4688,"['Evan Rachel Wood', 'Jim Sturgess', 'Joe Anderson']",['Julie Taymor']
Revolutionary Road,4148,"['Leonardo DiCaprio', 'Kate Winslet', 'Michael Shannon']",['Sam Mendes']
16 Blocks,2207,"['Bruce Willis', 'Yasiin Bey', 'David Morse']",['Richard Donner']
Babylon A.D.,9381,"['Vin Diesel', 'Michelle Yeoh', 'Mélanie Thierry']",['Mathieu Kassovitz']
The Glimmer Man,9625,"['Steven Seagal', 'Keenen Ivory Wayans', 'Bob Gunton']",['John Gray']
Multiplicity,9304,"['Michael Keaton', 'Andie MacDowell', 'Harris Yulin']",['Harold Ramis']
Aliens in the Attic,20856,"['Carter Jenkins', 'Austin Butler', 'Kevin Nealon']",['John Schultz']
The Pledge,5955,"['Jack Nicholson', 'Aaron Eckhart', 'Helen Mirren']",['Sean Penn']
The Producers,9899,"['Matthew Broderick', 'Uma Thurman', 'Will Ferrell']",['Susan Stroman']
The Phantom,9826,"['Billy Zane', 'Kristy Swanson', 'Treat Williams']",['Simon Wincer']
All the Pretty Horses,21355,"['Matt Damon', 'Henry Thomas', 'Penélope Cruz']",['Billy Bob Thornton']
Nixon,10858,"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']",['Oliver Stone']
The Ghost Writer,11439,"['Ewan McGregor', 'Pierce Brosnan', 'Jon Bernthal']",['Roman Polanski']
Deep Rising,9457,"['Treat Williams', 'Famke Janssen', 'Anthony Heald']",['Stephen Sommers']
Miracle at St. Anna,12412,"['Derek Luke', 'Michael Ealy', 'Laz Alonso']",['Spike Lee']
Curse of the Golden Flower,1494,"['Chow Yun-fat', 'Gong Li', 'Jay Chou']",['Zhang Yimou']
Bangkok Dangerous,13184,"['Nicolas Cage', 'Shahkrit Yamnarm', 'Charlie Yeung']",['Danny Pang']
Big Trouble,2185,"['Tim Allen', 'Rene Russo', 'Patrick Warburton']",['Barry Sonnenfeld']
Love in the Time of Cholera,6639,"['Javier Bardem', 'Unax Ugalde', 'Benjamin Bratt']",['Mike Newell']
Shadow Conspiracy,38153,"['Charlie Sheen', 'Donald Sutherland', 'Linda Hamilton']",['George P. Cosmatos']
Johnny English Reborn,58233,"['Rowan Atkinson', 'Dominic West', 'Gillian Anderson']",['Oliver Parker']
Foodfight!,116977,"['Charlie Sheen', 'Wayne Brady', 'Hilary Duff']",['Lawrence Kasanoff']
Argo,68734,"['Ben Affleck', 'Bryan Cranston', 'Alan Arkin']",['Ben Affleck']
The Fugitive,5503,"['Harrison Ford', 'Tommy Lee Jones', 'Sela Ward']",['Andrew Davis']
The Bounty Hunter,27573,"['Gerard Butler', 'Jennifer Aniston', 'Gio Perez']",['Andy Tennant']
Sleepers,819,"['Robert De Niro', 'Brad Pitt', 'Kevin Bacon']",['Barry Levinson']
Rambo: First Blood Part II,1369,"['Sylvester Stallone', 'Richard Crenna', 'Charles Napier']",['George P. Cosmatos']
The Juror,9623,"['Demi Moore', 'Alec Baldwin', 'Joseph Gordon-Levitt']",['Brian Gibson']
Pinocchio,10895,"['Mel Blanc', 'Don Brodie', 'Walter Catlett']",['Ben Sharpsteen']
Heaven's Gate,10935,"['Kris Kristofferson', 'Christopher Walken', 'John Hurt']",['Michael Cimino']
Underworld: Evolution,834,"['Kate Beckinsale', 'Scott Speedman', 'Tony Curran']",['Len Wiseman']
Victor Frankenstein,228066,"['James McAvoy', 'Daniel Radcliffe', 'Jessica Brown Findlay']",['Paul McGuigan']
Finding Forrester,711,"['Sean Connery', 'Rob Brown', 'F. Murray Abraham']",['Gus Van Sant']
28 Days,10468,"['Sandra Bullock', 'Viggo Mortensen', 'Dominic West']",['Betty Thomas']
Unleashed,10027,"['Jet Li', 'Morgan Freeman', 'Bob Hoskins']",['Louis Leterrier']
The Sweetest Thing,11812,"['Cameron Diaz', 'Christina Applegate', 'Thomas Jane']",['Roger Kumble']
The Firm,37233,"['Tom Cruise', 'Jeanne Tripplehorn', 'Gene Hackman']",['Sydney Pollack']
Charlie St. Cloud,37950,"['Zac Efron', 'Amanda Crew', 'Charlie Tahan']",['Burr Steers']
The Mechanic,27582,"['Jason Statham', 'Ben Foster', 'Donald Sutherland']",['Simon West']
21 Jump Street,64688,"['Channing Tatum', 'Jonah Hill', 'Brie Larson']",['Phil Lord']
Notting Hill,509,"['Julia Roberts', 'Hugh Grant', 'Gina McKee']",['Roger Michell']
Chicken Run,7443,"['Mel Gibson', 'Miranda Richardson', 'Timothy Spall']",['Nick Park']
Along Came Polly,5966,"['Ben Stiller', 'Jennifer Aniston', 'Philip Seymour Hoffman']",['John Hamburg']
Boomerang,11066,"['Eddie Murphy', 'Robin Givens', 'Halle Berry']",['Reginald Hudlin']
The Heat,136795,"['Sandra Bullock', 'Melissa McCarthy', 'Demián Bichir']",['Paul Feig']
Cleopatra,8095,"['Elizabeth Taylor', 'Richard Burton', 'Rex Harrison']",['Joseph L. Mankiewicz']
Here Comes the Boom,87826,"['Salma Hayek', 'Kevin James', 'Henry Winkler']",['Frank Coraci']
High Crimes,11560,"['Ashley Judd', 'Morgan Freeman', 'Jim Caviezel']",['Carl Franklin']
The Mirror Has Two Faces,25189,"['Barbra Streisand', 'Jeff Bridges', 'Lauren Bacall']",['Barbra Streisand']
The Mothman Prophecies,2637,"['Richard Gere', 'Laura Linney', 'Will Patton']",['Mark Pellington']
Brüno,18480,"['Sacha Baron Cohen', 'Richard Bey', 'Ron Paul']",['Larry Charles']
Licence to Kill,709,"['Timothy Dalton', 'Carey Lowell', 'Robert Davi']",['John Glen']
Red Riding Hood,49730,"['Amanda Seyfried', 'Gary Oldman', 'Billy Burke']",['Catherine Hardwicke']
15 Minutes,2749,"['Robert De Niro', 'Charlize Theron', 'Edward Burns']",['John Herzfeld']
Super Mario Bros.,9607,"['Bob Hoskins', 'John Leguizamo', 'Dennis Hopper']",['Annabel Jankel']
Lord of War,1830,"['Nicolas Cage', 'Bridget Moynahan', 'Jared Leto']",['Andrew Niccol']
Hero,79,"['Jet Li', 'Tony Leung Chiu-Wai', 'Maggie Cheung']",['Zhang Yimou']
One for the Money,54054,"['Katherine Heigl', ""Jason O'Mara"", 'Daniel Sunjata']",['Julie Anne Robinson']
The Interview,228967,"['James Franco', 'Seth Rogen', 'Lizzy Caplan']",['Seth Rogen']
The Warrior's Way,46528,"['Kate Bosworth', 'Jang Dong-gun', 'Geoffrey Rush']",['Sngmoo Lee']
Micmacs,27936,"['Dany Boon', 'Dominique Pinon', 'André Dussollier']",['Jean-Pierre Jeunet']
8 Mile,65,"['Eminem', 'Mekhi Phifer', 'Brittany Murphy']",['Curtis Hanson']
Why I Did (Not) Eat My Father,280391,"['Jamel Debbouze', 'Arié Elmaleh', 'Mélissa Theuriau']",['Jamel Debbouze']
A Knight's Tale,9476,"['Heath Ledger', 'Rufus Sewell', 'Shannyn Sossamon']",['Brian Helgeland']
The Medallion,10610,"['Jackie Chan', 'Lee Evans', 'Claire Forlani']",['Gordon Chan']
The Sixth Sense,745,"['Bruce Willis', 'Toni Collette', 'Olivia Williams']",['M. Night Shyamalan']
Man on a Ledge,49527,"['Sam Worthington', 'Elizabeth Banks', 'Jamie Bell']",['Asger Leth']
The Big Year,73937,"['Owen Wilson', 'Steve Martin', 'Jack Black']",['David Frankel']
The Karate Kid,1885,"['Ralph Macchio', 'Pat Morita', 'William Zabka']",['John G. Avildsen']
American Hustle,168672,"['Christian Bale', 'Bradley Cooper', 'Amy Adams']",['David O. Russell']
